index,gain_importance
range_ThermalConductivity,707066.9375
range_atomic_radius,45775.84765625
wtd_gmean_ThermalConductivity,31960.435546875
wtd_std_ElectronAffinity,13223.087890625
std_atomic_mass,11990.5068359375
gmean_ElectronAffinity,8654.77734375
wtd_mean_ThermalConductivity,7767.3525390625
wtd_gmean_Valence,6302.2548828125
range_fie,5703.4033203125
wtd_std_ThermalConductivity,5636.5009765625
wtd_std_Valence,5247.24560546875
std_ElectronAffinity,5171.041015625
mean_Density,5158.39697265625
gmean_Density,4661.00634765625
wtd_mean_Valence,4424.97314453125
wtd_entropy_ThermalConductivity,4224.8427734375
std_Density,3925.760986328125
entropy_Density,3778.9130859375
entropy_ThermalConductivity,2566.669189453125
std_atomic_radius,2464.49853515625
range_ElectronAffinity,2455.989501953125
range_atomic_mass,2347.243896484375
wtd_range_ElectronAffinity,2330.3671875
wtd_gmean_ElectronAffinity,2166.566650390625
mean_ThermalConductivity,1969.8416748046875
wtd_range_Valence,1860.5179443359375
wtd_std_atomic_mass,1799.638671875
wtd_entropy_Density,1678.428955078125
gmean_ThermalConductivity,1671.52294921875
wtd_entropy_FusionHeat,1658.5037841796875
mean_atomic_radius,1643.7689208984375
std_Valence,1624.0792236328125
entropy_FusionHeat,1579.357666015625
mean_ElectronAffinity,1532.4971923828125
wtd_std_FusionHeat,1503.4298095703125
wtd_gmean_Density,1463.4288330078125
wtd_range_atomic_mass,1462.9287109375
range_FusionHeat,1442.1846923828125
range_Density,1406.4736328125
range_Valence,1383.0594482421875
wtd_entropy_fie,1370.8580322265625
mean_Valence,1370.8011474609375
gmean_Valence,1342.989013671875
wtd_mean_Density,1317.5313720703125
wtd_range_Density,1313.4149169921875
wtd_range_fie,1305.0517578125
wtd_mean_ElectronAffinity,1290.9085693359375
wtd_std_Density,1186.6041259765625
entropy_Valence,1172.5341796875
wtd_entropy_ElectronAffinity,1168.9554443359375
entropy_atomic_radius,1159.39599609375
std_fie,1138.6898193359375
wtd_range_ThermalConductivity,1136.814453125
gmean_atomic_radius,1135.425537109375
std_FusionHeat,1110.2401123046875
wtd_gmean_FusionHeat,1102.43896484375
wtd_entropy_atomic_radius,1096.0068359375
wtd_entropy_Valence,1095.495361328125
mean_FusionHeat,1076.837890625
gmean_fie,1057.0732421875
entropy_atomic_mass,978.7528686523438
wtd_std_atomic_radius,976.9223022460938
wtd_gmean_atomic_radius,962.4299926757812
wtd_range_FusionHeat,944.0640869140625
wtd_mean_FusionHeat,937.2457885742188
wtd_std_fie,913.1553344726562
wtd_mean_atomic_mass,885.2828979492188
std_ThermalConductivity,877.0479736328125
entropy_fie,868.75439453125
wtd_gmean_fie,861.9287719726562
wtd_range_atomic_radius,855.7818603515625
gmean_FusionHeat,830.32861328125
wtd_gmean_atomic_mass,819.1914672851562
wtd_mean_atomic_radius,810.1002807617188
mean_fie,762.9921264648438
entropy_ElectronAffinity,751.4214477539062
wtd_mean_fie,700.3037109375
wtd_entropy_atomic_mass,685.6494750976562
gmean_atomic_mass,551.4274291992188
mean_atomic_mass,325.4331359863281
number_of_elements,115.34764862060547
